sbu_id,first_name,last_name,email,department,track,entry_semester,entry_year,requirement_version_semester,requirement_version_year,graduation_semester,graduation_year,password
12345,AMS,CB,chester.huang@stonybrook.edu,AMS,computational biology,Spring,2021,Spring,2021,Spring,2023,password
12346,AMS,Cam,amscam@stonybrook.edu,AMS,Computational Applied Mathematics,Spring,2021,Spring,2021,Spring,2023,password
12347,AMS,OR,amsor@stonybrook.edu,AMS,Operations Research,Spring,2021,Spring,2021,Spring,2023,password
12348,AMS,qf,amsqf@stonybrook.edu,AMS,Quantitative Finance,Spring,2021,Spring,2021,Spring,2023,password
12349,AMS,S,amss@stonybrook.edu,AMS,Statistics,Spring,2021,Spring,2021,Spring,2023,password
22345,BMI,cip,ammar.chishti@stonybrook.edu,BMI,Clinical Informatics with Project,Spring,2021,Spring,2021,Spring,2023,password
22346,BMI,CIT,bmicit@stonybrook.edu,BMI,Clinical Informatics with Thesis,Spring,2021,Spring,2021,Spring,2023,password
22347,BMI,iip,bmiiip@stonybrook.edu,BMI,Imaging Informatics with Project,Spring,2021,Spring,2021,Spring,2023,password
22348,BMI,iit,bmiiit@stonybrook.edu,BMI,Imaging Informatics with Thesis,Spring,2021,Spring,2021,Spring,2023,password
22349,BMI,tbp,bmitbp@stonybrook.edu,BMI,Translational Bioinformatics with Project,Spring,2021,Spring,2021,Spring,2023,password
22350,BMI,tbt,bmitbt@stonybrook.edu,BMI,Translational Bioinformatics with Thesis,Spring,2021,Spring,2021,Spring,2023,password
32345,CSE,ap,andrew.k.thomas@stonybrook.edu,CSE,Advanced Project,Spring,2021,Spring,2021,Fall,2022,password
32346,CSE,sp,csesp@stonybrook.edu,CSE,Special Project,Spring,2021,Spring,2021,Fall,2022,password
32347,CSE,t,cset@stonybrook.edu,CSE,Thesis,Spring,2021,Spring,2021,Fall,2022,password
42345,ESE,nt,minqi.shi@stonybrook.edu@stonybrook.edu,ESE,Non-Thesis,Spring,2021,Spring,2021,Spring,2023,password
42346,ESE,t,eset@stonybrook.edu,ESE,Thesis,Spring,2021,Spring,2021,Spring,2023,password
